date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ
03/10/2020,/files/properties/default.jpg,NULL,16 lầu,2 phòng ngủ,NULL, 70 m vuông, ---, _," 2,1 tỷ ","Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,12 lầu,2 phòng ngủ,NULL, 74 m vuông, ---, _," 1,7 tỷ ","Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,16 lầu,2 phòng ngủ,NULL, 71 m vuông, ---, _," 1,7 tỷ ","Đường Lê Đức Thọ, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,20 lầu,2 phòng ngủ,NULL, 71 m vuông, ---, _," 2,35 tỷ ","Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,12 lầu,2 phòng ngủ,NULL, 60 m vuông, ---, _," 1,9 tỷ ","Đường Trần Hữu Dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,16 lầu,3 phòng ngủ,NULL, 107 m vuông, ---, _, 23 triệu / m,"Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,15 lầu,2 phòng ngủ,NULL, 71 m vuông, ---, _," 1,65 tỷ ","Phố Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,11 lầu,2 phòng ngủ,NULL, 60 m vuông, ---, _, 2 tỷ ,"Đường Vũ Phạm Hàm, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,16 lầu,2 phòng ngủ,NULL, 79 m vuông, ---, _," 3,8 tỷ ","Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"

03/10/2020,/files/properties/2020/7/9/thumbnails/06515319-1342-ban-can-ho-chung-cu-quan-hoang-mai-gia-re.jpg,NULL,38 lầu,2 phòng ngủ,NULL, 72 m vuông, ---, _," 1,2 tỷ ","Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,5 lầu,2 phòng ngủ,NULL, 65 m vuông, ---, _," 1,45 tỷ ","Đường Tam Trinh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,15 lầu,3 phòng ngủ,NULL, 128 m vuông, ---, _, 8 tỷ ,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,12 lầu,2 phòng ngủ,NULL, 68 m vuông, ---, _," 2,5 tỷ ","Đường Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội"

03/10/2020,/files/properties/default.jpg,NULL,5 lầu,2 phòng ngủ,NULL, 78 m vuông, ---, _, 2 tỷ ,"Đường Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"

03/10/2020,/files/properties/2020/9/14/thumbnails/06925044-0330-ban-can-ho-chung-cu-huyen-dong-anh-chinh-chu.jpg,20m,25 lầu,2 phòng ngủ,NULL, 67 m vuông, 10x7m, _," 1,5 tỷ ","Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội"

03/10/2020,/files/properties/2020/9/21/thumbnails/20200921_021807_6967591_0.jpg,NULL,NULL,2 phòng ngủ,NULL, 60 m vuông, ---, _," 1,8 tỷ ","Phố Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội"

03/10/2020,/files/properties/2020/9/21/thumbnails/20200921_021846_6967630_0.jpg,NULL,NULL,1 phòng ngủ,NULL, 35 m vuông, ---, _," 1,27 tỷ ","Phường Thành Công, Quận Ba Đình, Hà Nội"

03/10/2020,/files/properties/2020/9/16/thumbnails/20200916_021329_6939547_0.jpg,NULL,NULL,NULL,NULL, 60 m vuông, ---, _," 7,8 tỷ ","Phố Phạm Ngọc Thạch, Quận Đống Đa, Hà Nội"

02/10/2020,/files/properties/2020/10/2/thumbnails/07042439-2211-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,5 lầu,2 phòng ngủ,NULL, 45 m vuông, ---, _," 1,9 tỷ ","Phố Trần Huy Liệu, Phường Giảng Võ, Quận Ba Đình, Hà Nội"

02/10/2020,/files/properties/2020/10/2/thumbnails/20201002_040337_436291_0.jpg,NULL,2 lầu,6 phòng ngủ,chỗ để xe, 376 m vuông, ---, _," 12,6 tỷ ","Đường Nguyễn Văn Huyên, Phường Xuân La, Quận Tây Hồ, Hà Nội"

02/10/2020,/files/properties/2020/10/2/thumbnails/07044417-0037-ban-can-ho-chung-cu-quan-dong-da-chinh-chu.jpg,NULL,5 lầu,1 phòng ngủ,NULL, 35 m vuông, ---, _, 800 triệu ,"Đường Trường Chinh, Phường Trung Liệt, Quận Đống Đa, Hà Nội"

01/10/2020,/files/properties/2020/10/1/thumbnails/07039306-5044-ban-can-ho-chung-cu-quan-thanh-xuan-gia-re.jpg,NULL,12 lầu,3 phòng ngủ,NULL, 116 m vuông, ---, Đông Nam, 26 triệu / m,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"

01/10/2020,/files/properties/2020/10/1/thumbnails/07039266-4622-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,10 lầu,2 phòng ngủ,NULL, 88 m vuông, ---, _," 1,85 tỷ ","Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

01/10/2020,/files/properties/2020/9/26/thumbnails/06679463-5715-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,34 lầu,3 phòng ngủ,chỗ để xe, 101 m vuông, ---, Đông Nam," 4,889 tỷ ","Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"

01/10/2020,/files/properties/2020/10/1/thumbnails/07035842-1522-ban-can-ho-chung-cu-quan-nam-tu-liem.jpg,NULL,NULL,2 phòng ngủ,chỗ để xe, 59 m vuông, ---, _, 2 tỷ ,"Đường Đại Lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"

01/10/2020,/files/properties/2020/9/21/thumbnails/06966378-3344-ban-can-ho-chung-cu-quan-cau-giay-gia-re.jpg,NULL,7 lầu,1 phòng ngủ,NULL, 35 m vuông, ---, Đông Nam, 870 triệu ,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"

01/10/2020,/files/properties/2020/9/26/thumbnails/07004436-1129-ban-can-ho-chung-cu-quan-bac-tu-liem.jpg,NULL,7 lầu,1 phòng ngủ,NULL, 35 m vuông, ---, Tây Nam, 670 triệu ,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội"

01/10/2020,/files/properties/2020/10/1/thumbnails/07035178-3252-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,2 phòng ngủ,chỗ để xe, 53 m vuông, ---, _," 2,2 tỷ ","Đường Đại Lộ Thăng Long, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội"

30/09/2020,/files/properties/2020/9/30/thumbnails/07027171-5001-ban-can-ho-chung-cu-quan-nam-tu-liem-gia-re.jpg,NULL,NULL,3 phòng ngủ,chỗ để xe, 102 m vuông, ---, _," 2,635 tỷ ","Đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"

30/09/2020,/files/properties/2020/9/24/thumbnails/06994088-3628-ban-can-ho-chung-cu-quan-thanh-xuan-chinh-chu.jpg,NULL,5 lầu,2 phòng ngủ,NULL, 25 m vuông, ---, _, 500 triệu ,"Đường Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"

29/09/2020,/files/properties/2020/9/16/thumbnails/06940808-5514-ban-can-ho-chung-cu-ha-noi.jpg,NULL,7 lầu,1 phòng ngủ,NULL, 35 m vuông, ---, Đông Bắc, 870 triệu ,"Đường Đê Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội"

28/09/2020,/files/properties/2020/9/28/thumbnails/07016102-1144-ban-can-ho-chung-cu-quan-thanh-xuan-gia-re.jpg,NULL,27 lầu,2 phòng ngủ,NULL, 86 m vuông, ---, _, 3 tỷ ,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"

18/09/2020,/files/properties/2020/9/18/thumbnails/20200918_113549_118171_0.jpg,NULL,1 lầu,3 phòng ngủ,NULL, 88 m vuông, ---, _," 1,95 tỷ ","Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội"

16/09/2020,/files/properties/2020/9/17/thumbnails/20200917_044437_591534_0.jpg,NULL,8 lầu,2 phòng ngủ,chỗ để xe, 85 m vuông, ---, _," 3,7 tỷ ","Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"

04/10/2020,/files/properties/2020/7/15/thumbnails/06552476-1211-ban-nha-trong-hem-quan-cau-giay-gia-re.jpg,12m,1 lầu,2 phòng ngủ,chỗ để xe, 72 m vuông, ---, _," 2,5 tỷ ","Đường Nam Trung Yên, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"

04/10/2020,/files/properties/2019/11/8/thumbnails/05418688-5455-ban-can-ho-chung-cu-quan-hai-ba-trung.jpg,NULL,34 lầu,4 phòng ngủ,chỗ để xe, 200 m vuông, ---, _, 2 tỷ ,"Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2019/11/11/thumbnails/0chinh-chu-ban-can-goc-4pn-sang-148m2-nha-moi-view-quang-truong-dep-toa-park-11-times-city.jpg,NULL,20 lầu,4 phòng ngủ,chỗ để xe, 148 m vuông, ---, _," 6,5 tỷ ","Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2020/4/27/thumbnails/06081023-4427-ban-can-ho-chung-cu-quan-hai-ba-trung-chinh-chu.jpg,NULL,20 lầu,2 phòng ngủ,chỗ để xe, 83 m vuông, ---, Nam," 2,8 tỷ ","Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2019/4/25/thumbnails/20190425_101627_4326840_0.jpg,NULL,15 lầu,3 phòng ngủ,chỗ để xe, 106 m vuông, ---, Nam," 4,2 tỷ ","Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2020/5/8/thumbnails/06037688-5108-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,20m,20 lầu,2 phòng ngủ,NULL, 1.816 m vuông, 43x43m, _," 24,6 tỷ ","Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/5/thumbnails/0ban-gap-can-chung-cu-d-el-dorado-dien-tich-45m-gia-2-45-ty-.jpg,NULL,NULL,2 phòng ngủ,NULL, 45 m vuông, ---, _," 2,45 tỷ ","Đường Phú Thượng, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"

04/10/2020,/files/properties/2020/9/20/thumbnails/06962727-4327-ban-can-ho-chung-cu-quan-long-bien.jpg,NULL,NULL,2 phòng ngủ,NULL, 70 m vuông, ---, _," 1,7 tỷ ","Đường Việt Hưng, Phường Giang Biên, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/3/22/thumbnails/05967263-3022-ban-can-ho-chung-cu-ha-noi.jpg,20m,1 lầu,2 phòng ngủ,NULL, 57 m vuông, ---, _," 2,45 tỷ ","Đường Nguyễn Văn Huyên, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội"

04/10/2020,/files/properties/2020/8/20/thumbnails/06776951-5209-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,28 lầu,2 phòng ngủ,NULL, 115 m vuông, ---, _," 5,55 tỷ ","Đường Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"

04/10/2020,/files/properties/2020/9/27/thumbnails/07011274-2055-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,22 lầu,2 phòng ngủ,NULL, 74 m vuông, ---, _, 995 triệu ,"Đường Quốc lộ 32, Xã Vân Canh, Huyện Hoài Đức, Hà Nội"

04/10/2020,/files/properties/2020/9/26/thumbnails/0ban-gap-can-ho-chung-cu-van-canh-hoai-duc-73m2-gia-990-tr-.jpg,9m,20 lầu,2 phòng ngủ,NULL, 73 m vuông, ---, _, 990 triệu ,"Đường Quốc lộ 32, Xã Vân Canh, Huyện Hoài Đức, Hà Nội"

04/10/2020,/files/properties/2020/9/25/thumbnails/07002786-0450-ban-can-ho-chung-cu-huyen-hoai-duc-chinh-chu.jpg,6m,21 lầu,2 phòng ngủ,NULL, 72 m vuông, ---, _, 1 tỷ ,"Đường Quốc lộ 32, Xã Vân Canh, Huyện Hoài Đức, Hà Nội"

04/10/2020,/files/properties/2020/9/27/thumbnails/07010135-2804-ban-can-ho-chung-cu-quan-hoang-mai-gia-re.jpg,NULL,8 lầu,3 phòng ngủ,NULL, 97 m vuông, ---, _," 2,5 tỷ ","Đường Trương Định, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/10/1/thumbnails/07034098-0651-ban-can-ho-chung-cu-quan-hoang-mai-gia-re.jpg,NULL,8 lầu,3 phòng ngủ,NULL, 97 m vuông, ---, _," 2,5 tỷ ","Đường Trương Định, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/3/thumbnails/06854918-1016-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,3 phòng ngủ,NULL, 113 m vuông, ---, _," 2,65 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,NULL,2 phòng ngủ,NULL, 93 m vuông, ---, _," 2,65 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/4/thumbnails/06862019-3942-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,2 phòng ngủ,NULL, 77 m vuông, ---, _," 2,3 tỷ ","Phố Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/8/31/thumbnails/06840658-3008-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,2 phòng ngủ,NULL, 79 m vuông, ---, _," 1,8 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/1/thumbnails/06845645-0036-ban-can-ho-chung-cu-quan-hoang-mai-chinh-chu.jpg,NULL,NULL,3 phòng ngủ,NULL, 88 m vuông, ---, _," 2,4 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,NULL,3 phòng ngủ,NULL, 93 m vuông, ---, _," 2,1 tỷ ","Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/10/thumbnails/0ban-can-ho-2pn-3pn-chung-cu-k35-tan-mai-.jpg,NULL,NULL,3 phòng ngủ,NULL, 92 m vuông, ---, _," 2,5 tỷ ","Phố Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/9/8/thumbnails/06883696-4916-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,30 lầu,2 phòng ngủ,NULL, 76 m vuông, ---, _," 2,2 tỷ ","Phố Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/8/21/thumbnails/06786025-3845-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,21 lầu,3 phòng ngủ,NULL, 88 m vuông, ---, _," 2,7 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/default.jpg,NULL,NULL,2 phòng ngủ,NULL, 79 m vuông, ---, _," 2,3 tỷ ","Phố Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/8/9/thumbnails/06710721-5441-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,28 lầu,3 phòng ngủ,NULL, 120 m vuông, ---, _," 3,05 tỷ ","Đường Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"

04/10/2020,/files/properties/2020/9/15/thumbnails/06928386-4156-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,20m,1 lầu,2 phòng ngủ,NULL, 65 m vuông, ---, _," 1,05 tỷ ","Đường Linh Đường, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"

04/10/2020,/files/properties/2020/3/3/thumbnails/05867727-4018-ban-nha-trong-hem-quan-ha-dong-gia-re.jpg,3m,7 lầu,19 phòng ngủ,NULL, 70 m vuông," 5,5x13m", _," 7,6 tỷ ","Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2020/9/14/thumbnails/06920827-1459-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,2 phòng ngủ,chỗ để xe, 61 m vuông, ---, _," 1,7 tỷ ","Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"

04/10/2020,/files/properties/2020/9/14/thumbnails/06921598-5452-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,NULL,2 phòng ngủ,chỗ để xe, 61 m vuông, ---, _," 1,7 tỷ ","Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"

04/10/2020,/files/properties/default.jpg,2m,3 lầu,2 phòng ngủ,NULL, 35 m vuông, 3x10m, Bắc," 1,65 tỷ ","Phố Huế, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội"

04/10/2020,/files/properties/default.jpg,5m,3 lầu,2 phòng ngủ,NULL, 46 m vuông," 3,5x14m", _," 2,7 tỷ ","Phố Lê Thánh Tông, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội"

04/10/2020,/files/properties/default.jpg,30m,7 lầu,3 phòng ngủ,chỗ để xe, 120 m vuông, 8x15m, Nam," 9,45 tỷ ","Đường Yên Phụ, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội"

04/10/2020,/files/properties/2020/9/21/thumbnails/06970503-3304-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,1 lầu,2 phòng ngủ,NULL, 98 m vuông, ---, _," 2,5 tỷ ","Đường Chu Văn An, Phường Vạn Phúc, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2020/8/25/thumbnails/06802937-5932-ban-can-ho-chung-cu-ha-noi.jpg,NULL,23 lầu,2 phòng ngủ,chỗ để xe, 95 m vuông, 10x9m, Đông Bắc," 3,35 tỷ ","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/default.jpg,10m,NULL,2 phòng ngủ,NULL, 59 m vuông, ---, _," 2,35 tỷ ","Phố Bà Triệu, Quận Hoàn Kiếm, Hà Nội"

04/10/2020,/files/properties/2020/8/21/thumbnails/1can-ban-gap-can-ho-vinaconex-6-475-nguyen-trai-3-ngu-120m2-gia-2-95-ty-.jpg,12m,15 lầu,3 phòng ngủ,chỗ để xe, 120 m vuông, ---, _," 2,95 tỷ ","Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"

04/10/2020,/files/properties/2020/9/5/thumbnails/06870704-0335-ban-can-ho-chung-cu-ha-noi.jpg,3m,9 lầu,2 phòng ngủ,NULL, 40 m vuông, 6x7m, _, 390 triệu ,"Đường Đại lộ Thăng Long, Xã La Phù, Huyện Hoài Đức, Hà Nội"

04/10/2020,/files/properties/2020/9/5/thumbnails/06870774-1430-ban-can-ho-chung-cu-ha-noi.jpg,3m,9 lầu,2 phòng ngủ,NULL, 39 m vuông, 6x7m, _, 390 triệu ,"Đường La Dương, Phường Dương Nội, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2020/9/24/thumbnails/0ban-cat-lo-can-ho-metropolis-3-ngu-dt-115m2-tang-22-tang-noi-that-moi-mua-gia-9-8-ty.jpg,20m,22 lầu,3 phòng ngủ,chỗ để xe, 115 m vuông, ---, _," 9,8 tỷ ","Phố Liễu Giai, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội"

04/10/2020,/files/properties/2020/8/19/thumbnails/06773591-4011-ban-can-ho-chung-cu-quan-hai-ba-trung.jpg,20m,2 lầu,2 phòng ngủ,chỗ để xe, 117 m vuông, ---, _," 9,6 tỷ ","Phố Mai Hắc Đế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2020/3/27/thumbnails/05991364-2329-ban-can-ho-chung-cu-quan-hai-ba-trung-chinh-chu.jpg,15m,4 lầu,2 phòng ngủ,NULL, 70 m vuông, ---, _," 1,9 tỷ ","Đường Đầm Trấu, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội"

04/10/2020,/files/properties/2020/8/20/thumbnails/06775805-2311-ban-can-ho-chung-cu-quan-ha-dong-gia-re.jpg,NULL,NULL,3 phòng ngủ,NULL, 141 m vuông, ---, _," 3,76 tỷ ","Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2018/11/6/thumbnails/20181106_101046_3685188_0.jpg,60m,10 lầu,4 phòng ngủ,chỗ để xe, 162 m vuông, ---, Đông Bắc," 28,5 triệu / m","Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội"

04/10/2020,/files/properties/2020/7/15/thumbnails/06548337-5702-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,2 phòng ngủ,NULL, 59 m vuông, ---, _," 1,5 tỷ ","Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2020/7/8/thumbnails/06507854-3642-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,3 phòng ngủ,NULL, 114 m vuông, ---, _," 2,1 tỷ ","Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"

04/10/2020,/files/properties/2018/6/13/thumbnails/20180613_093223_3128715_0.jpg,NULL,10 lầu,2 phòng ngủ,chỗ để xe, 78 m vuông, ---, Tây," 1,15 tỷ ","Đường Nguyễn Cao Luyện, Phường Giang Biên, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/9/30/thumbnails/20200930_044137_179469_0.jpg,NULL,5 lầu,2 phòng ngủ,chỗ để xe, 61 m vuông, ---, Đông Nam," 2,05 tỷ ","Phường Giang Biên, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/9/30/thumbnails/20200930_111232_179469_0.jpg,30m,20 lầu,3 phòng ngủ,chỗ để xe, 103 m vuông, ---, Đông Nam," 2,544 tỷ ","Phường Việt Hưng, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/9/30/thumbnails/20200930_100104_179469_0.jpg,30m,8 lầu,3 phòng ngủ,chỗ để xe, 79 m vuông, ---, Đông Nam," 1,99 tỷ ","Phường Giang Biên, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/1/6/thumbnails/20200106_113659_179469_0.jpg,40m,12 lầu,2 phòng ngủ,chỗ để xe, 72 m vuông, ---, Nam," 1,9 tỷ ","Phường Việt Hưng, Quận Long Biên, Hà Nội"

04/10/2020,/files/properties/2020/2/7/thumbnails/20200207_110830_179469_0.jpg,60m,12 lầu,3 phòng ngủ,chỗ để xe, 92 m vuông, ---, Nam," 2,16 tỷ ","Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội"

